date,system:index,NDVI,Rural_LST,UHI,Urban_LST,.geo,month,year,day_of_year,week,LST_diff,UHI_lag1,UHI_lag4,UHI_rolling4,month_sin,month_cos,doy_sin,doy_cos,time_idx,UHI_trend,UHI_detrended
2016-03-10,43,0.3293363543676028,35.73070378614132,3.514829993378193,39.24553377951951,"{""type"":""MultiPoint"",""coordinates"":[]}",3,2016,70,10,3.514829993378193,3.3497311724417838,2.4941191823932662,3.222142321068668,1.0,6.123233995736766e-17,0.9338372288229252,0.35769823883312546,39.0,3.157435786080258,0.3573942072979346
2016-03-24,44,0.32347518344388476,41.263558176987694,4.126366887881102,40.924765818009035,"{""type"":""MultiPoint"",""coordinates"":[]}",3,2016,84,12,-0.3387923589786581,3.514829993378193,2.8393757669493205,3.5438901013016135,1.0,6.123233995736766e-17,0.9922222094179323,0.12447926388678915,40.0,3.1607621144779756,0.9656047734031263
2016-03-31,45,0.3205445979820258,37.33224650212124,4.432135335132557,41.764381837253794,"{""type"":""MultiPoint"",""coordinates"":[]}",3,2016,91,13,4.432135335132557,4.126366887881102,3.1846323515053747,3.855765847208409,1.0,6.123233995736766e-17,0.9999907397361901,0.004303538296244289,41.0,3.164088442875693,1.268046892256864
2016-04-07,46,0.3240724985582839,50.70716220316813,4.5564029269020025,42.43257821527444,"{""type"":""MultiPoint"",""coordinates"":[]}",4,2016,98,14,-8.274583987893692,4.432135335132557,3.3497311724417838,4.157433785823464,0.8660254037844387,-0.4999999999999998,0.9932568492674143,-0.11593459959550041,42.0,3.1674147712734104,1.3889881556285921
2016-04-14,47,0.327600399134542,38.42010407462364,4.680670518671448,43.100774593295085,"{""type"":""MultiPoint"",""coordinates"":[]}",4,2016,105,15,4.680670518671448,4.5564029269020025,3.514829993378193,4.448893917146778,0.8660254037844387,-0.4999999999999998,0.9721181966290613,-0.23449138957040985,43.0,3.170741099671128,1.5099294190003203
2016-04-21,48,0.3206560330928719,48.79273004504412,6.213684264222753,43.17362411164371,"{""type"":""MultiPoint"",""coordinates"":[]}",4,2016,112,16,-5.619105933400405,4.680670518671448,4.126366887881102,4.97072326123219,0.8660254037844387,-0.4999999999999998,0.9368813462954315,-0.3496474552512284,44.0,3.1740674280688452,3.0396168361539075
2016-04-28,49,0.3137116670512018,35.49977562021829,7.746698009774057,43.24647362999234,"{""type"":""MultiPoint"",""coordinates"":[]}",4,2016,119,17,7.74669800977405,6.213684264222753,4.432135335132557,5.799363929892565,0.8660254037844387,-0.4999999999999998,0.8880573226294932,-0.45973273945210397,45.0,3.1773937564665626,4.569304253307495
2016-05-12,50,0.23709559557684273,46.82544192847151,2.8536437307858664,33.777867377982176,"{""type"":""MultiPoint"",""coordinates"":[]}",5,2016,133,19,-13.047574550489337,7.746698009774057,4.5564029269020025,5.373674130863531,0.49999999999999994,-0.8660254037844387,0.7526668275320085,-0.6584015846980488,46.0,3.18072008486428,-0.3270763540784136
2016-05-19,51,0.1987875598396632,28.636447660685324,0.4071165912917713,29.04356425197709,"{""type"":""MultiPoint"",""coordinates"":[]}",5,2016,140,20,0.4071165912917678,2.8536437307858664,4.680670518671448,4.305285649018612,0.49999999999999994,-0.8660254037844387,0.6680638642135335,-0.7441039398713607,47.0,3.1840464132619974,-2.776929821970226
2016-05-26,52,0.20087958026132183,37.64944159094265,0.03648972787427157,27.70650537288039,"{""type"":""MultiPoint"",""coordinates"":[]}",5,2016,147,21,-9.942936218062261,0.4071165912917713,6.213684264222753,2.7609870149314917,0.49999999999999994,-0.8660254037844387,0.5737722679043246,-0.8190148866680801,48.0,3.187372741659715,-3.1508830137854433
